0,user_id,checkout_page,order_value,purchased,gender,browser,time_on_page
75,883501,A,23.288,1.0,M,chrome,36.782
76,894237,A,22.823,1.0,M,safari,34.550
77,875857,A,23.553,1.0,F,safari,38.054
78,862143,A,24.221,1.0,F,firefox,41.261
79,872029,A,25.140,1.0,F,safari,45.674
80,909800,A,NaN,0.0,M,chrome,31.018
81,888297,A,27.252,1.0,M,chrome,55.810
82,860768,A,26.164,1.0,F,safari,50.588
83,904023,A,21.159,1.0,F,firefox,26.565
84,841076,A,28.721,1.0,F,firefox,62.859
85,847543,A,29.740,1.0,F,firefox,67.751
86,898453,A,27.947,1.0,M,firefox,59.145
87,847077,A,24.550,1.0,M,chrome,42.841
88,869207,A,NaN,0.0,M,firefox,32.151
89,908968,A,27.636,1.0,F,firefox,57.653
90,899858,A,23.992,1.0,F,firefox,40.162
91,901776,A,28.056,1.0,M,chrome,59.669
92,872483,A,25.521,1.0,M,chrome,47.499
93,857654,A,27.442,1.0,M,safari,56.720
94,850399,A,25.891,1.0,M,chrome,49.276
95,875495,A,26.766,1.0,F,chrome,53.479
96,883481,A,25.026,1.0,M,safari,45.126
97,879457,A,29.465,1.0,F,chrome,66.430
98,837922,A,25.317,1.0,F,chrome,46.523
99,896218,A,26.005,1.0,F,safari,49.824
100,849331,A,29.708,1.0,F,safari,67.598
101,857141,A,21.631,1.0,M,firefox,28.827
102,875132,A,21.824,1.0,F,firefox,29.754
103,848392,A,27.423,1.0,M,firefox,56.633
104,850423,A,NaN,0.0,M,firefox,30.923
105,859651,A,29.859,1.0,F,chrome,68.323
106,895959,A,23.966,1.0,F,firefox,40.037
107,848806,A,23.131,1.0,M,safari,36.031
108,836298,A,29.807,1.0,F,safari,68.075
109,857960,A,28.701,1.0,F,chrome,62.766
110,872318,A,29.669,1.0,F,safari,67.411
111,858327,A,27.265,1.0,F,chrome,55.873
112,858839,A,NaN,0.0,M,chrome,34.665
113,876164,A,29.775,1.0,M,firefox,67.921
114,847173,A,24.330,1.0,M,chrome,41.784
115,861654,A,NaN,0.0,M,safari,54.629
116,835814,A,27.368,1.0,M,firefox,56.367
117,864643,A,24.612,1.0,F,firefox,43.140
118,901195,A,NaN,0.0,M,firefox,52.369
119,842632,A,27.306,1.0,M,chrome,56.066
120,857098,A,25.941,1.0,M,safari,49.517
121,902561,A,NaN,0.0,M,chrome,31.807
122,862011,A,25.746,1.0,F,chrome,48.579
123,859625,A,28.316,1.0,F,safari,60.917
124,851421,A,23.264,1.0,F,firefox,36.665
125,863828,A,24.626,1.0,F,safari,43.204
126,854240,A,23.912,1.0,M,firefox,39.778
127,844883,A,NaN,0.0,M,firefox,67.191
128,836199,A,26.681,1.0,F,safari,53.068
129,852621,A,26.019,1.0,M,safari,49.890
130,835381,A,23.075,1.0,F,firefox,35.761
131,912009,A,26.348,1.0,F,safari,51.471
132,862800,A,23.314,1.0,F,safari,36.908
133,871812,A,25.080,1.0,F,safari,45.382
134,869129,A,NaN,0.0,M,firefox,37.370
135,844599,A,26.691,1.0,F,firefox,53.117
136,907252,A,26.441,1.0,M,safari,51.919
137,888433,A,24.479,1.0,M,safari,42.500
138,851216,A,25.990,1.0,F,safari,49.752
139,861917,A,NaN,0.0,M,firefox,31.883
140,887597,A,NaN,0.0,M,chrome,27.105
141,884066,A,26.098,1.0,F,chrome,50.273
142,836894,A,25.417,1.0,F,firefox,47.000
143,874409,A,26.588,1.0,F,chrome,52.620
144,880910,A,30.958,1.0,F,safari,73.598
145,896024,A,27.361,1.0,F,chrome,56.334
146,874036,A,22.718,1.0,M,firefox,34.046
147,866138,A,27.793,1.0,M,safari,58.404
148,862500,A,21.710,1.0,F,firefox,29.209
149,848769,A,23.846,1.0,F,firefox,39.461
150,867887,A,NaN,0.0,M,safari,44.181
151,873995,A,29.283,1.0,F,chrome,65.560
152,853040,A,23.138,1.0,F,firefox,36.063
153,844471,A,22.934,1.0,F,safari,35.083
154,854067,A,NaN,0.0,M,firefox,43.819
155,882284,A,23.341,1.0,F,firefox,37.038
156,856436,A,27.817,1.0,M,firefox,58.520
157,910491,A,22.300,1.0,M,chrome,32.041
158,837437,A,22.131,1.0,F,safari,31.230
159,835021,A,23.905,1.0,M,chrome,39.746
160,889544,A,23.755,1.0,F,safari,39.024
161,880598,A,29.824,1.0,M,safari,68.154
162,902471,A,27.374,1.0,M,safari,56.393
163,909157,A,25.219,1.0,M,safari,46.051
164,889873,A,21.936,1.0,F,safari,30.295
165,836948,A,NaN,0.0,M,safari,55.132
166,835578,A,22.499,1.0,F,safari,32.997
167,859199,A,21.138,1.0,F,firefox,26.463
168,889290,A,27.970,1.0,F,chrome,59.256
169,864952,A,25.792,1.0,M,chrome,48.803
170,874133,A,27.302,1.0,M,chrome,56.050
171,866929,A,25.797,1.0,F,chrome,48.825
172,911085,A,27.142,1.0,M,firefox,55.282
173,902933,A,23.372,1.0,F,chrome,37.188
174,907002,A,22.414,1.0,M,firefox,32.589
175,849195,A,26.704,1.0,F,safari,53.179
176,860976,A,22.991,1.0,M,firefox,35.359
177,855648,A,23.276,1.0,F,firefox,36.725
178,846675,A,NaN,0.0,M,chrome,39.534
179,899560,A,25.044,1.0,F,chrome,45.210
180,895985,A,24.115,1.0,F,firefox,40.752
181,839869,A,21.563,1.0,F,chrome,28.501
182,896011,A,NaN,0.0,M,chrome,37.277
183,865206,A,NaN,0.0,M,firefox,18.319
184,902018,A,26.563,1.0,F,chrome,52.503
185,840371,A,20.995,1.0,M,safari,25.775
186,907137,A,22.239,1.0,M,firefox,31.747
187,878738,A,25.130,1.0,M,firefox,45.626
188,858624,A,23.151,1.0,M,chrome,36.125
189,902660,A,28.858,1.0,F,safari,63.516
190,849659,A,21.768,1.0,F,chrome,29.486
191,883980,A,NaN,0.0,M,safari,48.205
192,870478,A,NaN,0.0,M,chrome,44.529
193,861598,A,22.080,1.0,M,chrome,30.983
194,870154,A,26.308,1.0,F,safari,51.279
195,857736,A,24.571,1.0,F,chrome,42.941
196,898145,A,26.929,1.0,M,chrome,54.261
197,857242,A,NaN,0.0,M,firefox,54.882
198,861314,A,NaN,0.0,M,firefox,70.959
199,888502,A,28.341,1.0,M,safari,61.038
200,847949,A,24.077,1.0,M,safari,40.570
201,896936,A,24.402,1.0,F,safari,42.127
202,882319,A,27.749,1.0,F,chrome,58.196
203,890776,A,NaN,0.0,M,safari,52.863
204,876110,A,26.600,1.0,M,safari,52.682
205,904015,A,20.958,1.0,F,firefox,25.597
206,870512,A,24.939,1.0,F,firefox,44.708
207,878530,A,23.155,1.0,M,firefox,36.144
208,842567,A,25.700,1.0,F,firefox,48.359
209,907733,A,24.755,1.0,F,firefox,43.822
210,907829,A,27.275,1.0,M,chrome,55.922
211,903427,A,25.793,1.0,M,safari,48.807
212,871003,A,26.966,1.0,M,safari,54.436
213,910656,A,23.834,1.0,F,chrome,39.403
214,880112,A,22.639,1.0,M,firefox,33.667
215,844761,A,23.975,1.0,F,chrome,40.079
216,858774,A,24.957,1.0,F,chrome,44.796
217,897011,A,25.948,1.0,M,safari,49.550
218,876021,A,30.648,1.0,M,firefox,72.112
219,896153,A,NaN,0.0,M,chrome,44.493
220,858617,A,22.610,1.0,M,safari,33.529
221,840591,A,24.135,1.0,M,safari,40.848
222,839304,A,23.841,1.0,F,safari,39.437
223,843928,A,26.204,1.0,F,firefox,50.778
224,846456,A,21.148,1.0,F,firefox,26.510
225,910275,A,25.158,1.0,F,firefox,45.759
226,911039,A,NaN,0.0,M,firefox,46.878
227,851440,A,25.580,1.0,F,chrome,47.786
228,853894,A,NaN,0.0,M,chrome,37.832
229,848477,A,24.405,1.0,M,firefox,42.145
230,861938,A,21.440,1.0,M,chrome,27.911
231,861010,A,23.767,1.0,M,firefox,39.080
232,902214,A,23.643,1.0,M,firefox,38.486
233,894816,A,26.040,1.0,F,chrome,49.993
234,836911,A,22.110,1.0,F,firefox,31.126
235,873614,A,26.953,1.0,M,chrome,54.374
236,843697,A,28.736,1.0,F,firefox,62.934
237,908043,A,19.825,1.0,F,chrome,20.160
238,844426,A,26.066,1.0,M,firefox,50.115
239,899393,A,26.692,1.0,F,firefox,53.123
240,841062,A,NaN,0.0,M,chrome,37.351
241,860503,A,NaN,0.0,M,firefox,40.233
242,876908,A,NaN,0.0,M,firefox,43.405
243,912309,A,24.256,1.0,F,firefox,41.427
244,840998,A,24.227,1.0,F,firefox,41.292
245,896215,A,NaN,0.0,M,firefox,24.888
246,869643,A,27.881,1.0,F,firefox,58.828
247,871997,A,NaN,0.0,M,chrome,57.955
248,878516,A,NaN,0.0,M,chrome,35.240
249,895903,A,NaN,0.0,M,firefox,27.403
250,865957,A,26.303,1.0,F,firefox,51.253
251,860146,A,23.561,1.0,F,safari,38.091
252,854753,A,NaN,0.0,M,chrome,46.703
253,889116,A,24.202,1.0,F,chrome,41.168
254,902162,A,26.729,1.0,F,safari,53.298
255,846118,A,26.737,1.0,M,firefox,53.337
256,905415,A,NaN,0.0,M,safari,36.293
257,893644,A,21.542,1.0,M,chrome,28.400
258,846425,A,21.043,1.0,M,safari,26.005
259,839854,A,26.526,1.0,F,firefox,52.325
260,851185,A,22.028,1.0,M,chrome,30.734
261,886491,A,NaN,0.0,M,firefox,38.918
262,877556,A,23.509,1.0,F,chrome,37.844
263,890813,A,24.869,1.0,M,chrome,44.369
264,884869,A,NaN,0.0,M,chrome,21.765
265,902786,A,25.472,1.0,M,safari,47.265
266,904679,A,26.310,1.0,M,chrome,51.287
267,901250,A,25.221,1.0,M,safari,46.061
268,881826,A,24.223,1.0,F,chrome,41.269
269,846998,A,25.244,1.0,F,safari,46.169
270,849332,A,25.998,1.0,M,firefox,49.789
271,841249,A,18.069,1.0,M,safari,11.729
272,836500,A,NaN,0.0,M,chrome,68.471
273,904271,A,NaN,0.0,M,firefox,49.681
274,880414,A,23.369,1.0,M,safari,37.171
275,855107,A,24.023,1.0,M,safari,40.309
276,841851,A,26.234,1.0,M,firefox,50.925
277,867056,A,24.710,1.0,M,safari,43.607
278,846285,A,19.923,1.0,M,firefox,20.632
279,885755,A,30.161,1.0,M,safari,69.774
280,836077,A,NaN,0.0,M,safari,43.674
281,877240,A,27.550,1.0,F,firefox,57.242
282,893076,A,23.270,1.0,F,chrome,36.695
283,883026,A,28.841,1.0,F,safari,63.437
284,873861,A,25.716,1.0,M,chrome,48.436
285,850722,A,26.522,1.0,F,chrome,52.306
286,854629,A,22.387,1.0,F,firefox,32.457
287,898272,A,28.028,1.0,M,chrome,59.534
288,862413,A,26.725,1.0,F,firefox,53.278
289,873083,A,28.255,1.0,M,firefox,60.622
290,914052,A,23.430,1.0,F,chrome,37.463
291,887636,A,23.797,1.0,F,chrome,39.228
292,870879,A,NaN,0.0,M,firefox,72.647
293,885950,A,22.350,1.0,F,firefox,32.280
294,890493,A,24.660,1.0,F,chrome,43.369
295,850123,A,27.842,1.0,M,safari,58.643
296,875418,A,25.244,1.0,M,chrome,46.173
297,890322,A,26.457,1.0,F,firefox,51.995
298,898423,A,24.001,1.0,M,firefox,40.207
299,866406,A,25.925,1.0,F,chrome,49.441
300,851232,A,21.734,1.0,F,safari,29.322
301,886651,A,29.145,1.0,M,chrome,64.898
302,876968,A,24.705,1.0,M,chrome,43.582
303,877973,A,23.300,1.0,M,safari,36.838
304,891507,A,26.666,1.0,M,safari,52.997
305,887864,A,NaN,0.0,M,chrome,39.471
306,855359,A,21.664,1.0,M,safari,28.989
307,878177,A,21.633,1.0,F,chrome,28.839
308,865723,A,26.734,1.0,M,chrome,53.325
309,839837,A,24.601,1.0,F,chrome,43.085
310,893877,A,24.666,1.0,F,firefox,43.396
311,867053,A,27.694,1.0,F,chrome,57.933
312,866002,A,22.183,1.0,F,chrome,31.478
313,909334,A,NaN,0.0,M,chrome,36.232
314,899756,A,NaN,0.0,M,chrome,40.381
315,897487,A,25.236,1.0,M,firefox,46.132
316,845034,A,24.895,1.0,F,safari,44.494
317,847837,A,24.283,1.0,F,chrome,41.557
318,900922,A,24.846,1.0,F,firefox,44.260
319,907509,A,24.732,1.0,F,firefox,43.712
320,887897,A,23.201,1.0,M,firefox,36.365
321,877876,A,22.968,1.0,M,firefox,35.244
322,872746,A,25.686,1.0,M,chrome,48.294
323,837718,A,22.773,1.0,F,safari,34.309
324,889074,A,NaN,0.0,M,firefox,31.112
325,864326,A,24.219,1.0,M,safari,41.252
326,838325,A,24.606,1.0,M,chrome,43.108
327,851526,A,30.642,1.0,M,chrome,72.081
328,861077,A,23.238,1.0,F,chrome,36.544
329,892017,A,27.358,1.0,F,firefox,56.319
330,889167,A,26.868,1.0,F,chrome,53.966
331,839004,A,22.028,1.0,M,safari,30.733
332,839416,A,26.933,1.0,F,firefox,54.279
333,896816,A,22.040,1.0,F,firefox,30.793
334,873869,A,18.352,1.0,F,firefox,13.090
335,886569,A,26.516,1.0,F,firefox,52.276
336,865166,A,NaN,0.0,M,chrome,23.929
337,860619,A,26.127,1.0,M,safari,50.411
338,857121,A,23.290,1.0,F,chrome,36.792
339,860191,A,29.149,1.0,F,safari,64.915
340,871414,A,27.671,1.0,F,chrome,57.822
341,840714,A,23.867,1.0,F,chrome,39.559
342,902280,A,23.280,1.0,F,safari,36.746
343,898022,A,21.965,1.0,F,safari,30.431
344,857348,A,23.898,1.0,F,safari,39.709
345,894008,A,24.299,1.0,M,chrome,41.636
346,869053,A,24.088,1.0,M,safari,40.624
347,865902,A,25.392,1.0,F,safari,46.880
348,839142,A,26.446,1.0,F,firefox,51.942
349,890633,A,25.874,1.0,M,firefox,49.196
350,862544,A,23.090,1.0,M,safari,35.830
351,857037,A,NaN,0.0,M,chrome,27.747
352,895439,A,28.411,1.0,M,safari,61.374
353,910044,A,23.276,1.0,F,firefox,36.727
354,843909,A,23.369,1.0,F,safari,37.172
355,879621,A,23.697,1.0,M,safari,38.746
356,868467,A,20.392,1.0,F,firefox,22.883
357,858515,A,23.805,1.0,M,firefox,39.264
358,890724,A,NaN,0.0,M,safari,39.244
359,888448,A,26.551,1.0,M,firefox,52.444
360,897477,A,26.746,1.0,F,safari,53.381
361,902131,A,25.009,1.0,M,safari,45.045
362,870774,A,27.330,1.0,F,safari,56.182
363,910489,A,25.850,1.0,M,firefox,49.080
364,900385,A,NaN,0.0,M,chrome,44.812
365,887275,A,25.402,1.0,F,safari,46.931
366,850607,A,NaN,0.0,M,safari,42.712
367,847921,A,NaN,0.0,M,chrome,40.262
368,846033,A,24.331,1.0,F,chrome,41.787
369,875813,A,22.180,1.0,F,firefox,31.464
370,914523,A,25.701,1.0,F,firefox,48.365
371,843208,A,22.517,1.0,F,chrome,33.083
372,878670,A,27.104,1.0,F,chrome,55.100
373,850762,A,24.376,1.0,M,chrome,42.006
374,891878,A,25.124,1.0,F,safari,45.594
375,879665,A,26.235,1.0,F,firefox,50.926
376,884068,A,NaN,0.0,M,chrome,52.720
377,886462,A,21.073,1.0,F,safari,26.153
378,911932,A,24.483,1.0,M,safari,42.517
379,869248,A,27.200,1.0,F,chrome,55.562
380,896113,A,20.755,1.0,F,safari,24.623
381,863221,A,25.968,1.0,M,safari,49.647
382,848378,A,19.361,1.0,M,safari,17.933
383,865290,A,NaN,0.0,M,safari,32.730
384,883962,A,25.097,1.0,M,chrome,45.464
385,848137,A,20.858,1.0,M,firefox,25.119
386,892472,A,22.536,1.0,F,chrome,33.174
387,883170,A,21.320,1.0,F,chrome,27.338
388,899777,A,29.120,1.0,M,firefox,64.778
389,834973,A,25.411,1.0,M,safari,46.971
390,898525,A,NaN,0.0,M,firefox,51.807
391,913601,A,24.443,1.0,F,chrome,42.328
392,890240,A,24.116,1.0,F,firefox,40.759
393,890442,A,20.959,1.0,M,safari,25.602
394,906131,A,24.270,1.0,F,safari,41.498
395,843045,A,NaN,0.0,M,safari,35.862
396,899960,A,NaN,0.0,M,chrome,55.295
397,862297,A,27.853,1.0,F,safari,58.693
398,855617,A,28.666,1.0,M,firefox,62.599
399,876328,A,27.131,1.0,M,chrome,55.231
400,910287,A,23.503,1.0,F,safari,37.816
401,910680,A,NaN,0.0,M,chrome,31.609
402,876485,A,26.917,1.0,M,firefox,54.200
403,844775,A,NaN,0.0,M,safari,49.276
404,846498,A,20.579,1.0,F,safari,23.778
405,878409,A,NaN,0.0,M,safari,49.266
406,859601,A,27.036,1.0,F,chrome,54.774
407,873345,A,25.147,1.0,F,chrome,45.707
408,861385,A,NaN,0.0,M,chrome,42.779
409,887252,A,22.981,1.0,F,safari,35.308
410,875454,A,21.384,1.0,F,chrome,27.642
411,846850,A,NaN,0.0,M,firefox,54.604
412,899528,A,NaN,0.0,M,firefox,41.291
413,873074,A,24.416,1.0,M,safari,42.198
414,910722,A,29.332,1.0,M,firefox,65.793
415,847754,A,26.711,1.0,F,chrome,53.214
416,862112,A,25.927,1.0,F,chrome,49.450
417,859024,A,25.355,1.0,F,safari,46.705
418,874077,A,28.800,1.0,M,chrome,63.240
419,845191,A,29.299,1.0,M,safari,65.635
420,837941,A,27.324,1.0,M,firefox,56.154
421,914323,A,26.456,1.0,M,chrome,51.987
422,863297,A,19.763,1.0,F,chrome,19.865
423,874865,A,25.309,1.0,F,chrome,46.485
424,896155,A,24.675,1.0,F,safari,43.439
425,878214,A,25.235,1.0,M,chrome,46.127
426,907125,A,27.358,1.0,F,chrome,56.317
427,860638,A,NaN,0.0,M,firefox,12.124
428,910791,A,23.577,1.0,F,chrome,38.168
429,893624,A,25.675,1.0,F,chrome,48.239
430,858923,A,23.833,1.0,F,safari,39.398
431,872702,A,21.458,1.0,M,firefox,27.997
432,852621,A,27.172,1.0,M,safari,55.428
433,850635,A,25.692,1.0,F,chrome,48.322
434,841226,A,22.572,1.0,F,firefox,33.347
435,836889,A,25.787,1.0,M,chrome,48.778
436,840775,A,27.054,1.0,F,firefox,54.859
437,871284,A,NaN,0.0,M,chrome,45.064
438,840034,A,27.001,1.0,M,safari,54.607
439,845287,A,25.196,1.0,F,safari,45.939
440,846349,A,24.012,1.0,F,firefox,40.257
441,888202,A,NaN,0.0,M,safari,31.087
442,896883,A,24.785,1.0,F,safari,43.969
443,882646,A,25.486,1.0,F,firefox,47.332
444,867845,A,27.190,1.0,M,firefox,55.510
445,874192,A,NaN,0.0,M,firefox,43.619
446,887868,A,NaN,0.0,M,chrome,50.489
447,907502,A,22.588,1.0,M,firefox,33.425
448,882093,A,23.043,1.0,F,firefox,35.608
449,892307,A,24.724,1.0,F,firefox,43.675
450,873365,A,22.363,1.0,M,safari,32.344
451,892876,A,27.051,1.0,M,firefox,54.843
452,876411,A,26.158,1.0,F,safari,50.558
453,906773,A,NaN,0.0,M,safari,48.349
454,910704,A,25.847,1.0,F,firefox,49.067
455,897734,A,30.053,1.0,F,firefox,69.253
456,899991,A,23.828,1.0,F,safari,39.374
457,873218,A,19.496,1.0,F,safari,18.583
458,876867,A,25.498,1.0,F,chrome,47.392
459,886698,A,24.873,1.0,F,safari,44.393
460,859315,A,23.706,1.0,F,firefox,38.790
461,847507,A,22.553,1.0,M,safari,33.254
462,888225,A,23.902,1.0,M,firefox,39.730
463,907159,A,25.453,1.0,M,chrome,47.176
464,852423,A,NaN,0.0,M,firefox,38.966
465,839562,A,31.031,1.0,F,chrome,73.949
466,885529,A,22.599,1.0,F,chrome,33.474
467,844855,A,NaN,0.0,M,safari,35.483
468,899632,A,19.278,1.0,F,safari,17.537
469,857366,A,NaN,0.0,M,firefox,48.018
470,890602,A,19.959,1.0,F,firefox,20.803
471,849071,A,NaN,0.0,M,safari,38.527
472,841009,A,24.311,1.0,F,safari,41.692
473,913660,A,NaN,0.0,M,chrome,36.483
474,847708,A,29.347,1.0,M,chrome,65.866
475,876498,A,NaN,0.0,M,safari,56.933
476,880368,A,28.298,1.0,F,firefox,60.830
477,897833,A,22.794,1.0,M,chrome,34.411
478,834580,A,NaN,0.0,M,safari,58.543
479,914254,A,26.240,1.0,M,chrome,50.952
480,895056,A,26.929,1.0,M,chrome,54.257
481,847872,A,27.574,1.0,M,chrome,57.353
482,907456,A,22.728,1.0,F,firefox,34.095
483,896624,A,23.939,1.0,M,firefox,39.908
484,906989,A,27.156,1.0,M,chrome,55.351
485,841012,A,NaN,0.0,M,chrome,13.133
486,900515,A,28.783,1.0,F,safari,63.160
487,847612,A,26.383,1.0,F,chrome,51.638
488,837419,A,NaN,0.0,M,firefox,44.452
489,876093,A,NaN,0.0,M,firefox,47.646
490,909814,A,22.425,1.0,F,safari,32.641
491,874072,A,24.125,1.0,M,firefox,40.801
492,895888,A,27.751,1.0,F,chrome,58.203
493,894894,A,28.245,1.0,F,safari,60.576
494,890780,A,31.741,1.0,F,chrome,77.355
495,856696,A,24.815,1.0,F,safari,44.113
496,850914,A,23.354,1.0,M,safari,37.097
497,888435,A,23.714,1.0,F,safari,38.829
498,905023,A,NaN,0.0,M,chrome,32.783
499,876704,A,NaN,0.0,M,firefox,44.066
500,867985,A,25.957,1.0,M,safari,49.593
501,836377,A,24.914,1.0,M,firefox,44.589
502,881026,A,27.741,1.0,F,chrome,58.156
503,843239,A,24.414,1.0,M,chrome,42.189
504,898057,A,24.131,1.0,M,chrome,40.831
505,895819,A,23.547,1.0,F,safari,38.025
506,869216,A,NaN,0.0,M,firefox,25.408
507,863293,A,NaN,0.0,M,chrome,26.187
508,879724,A,NaN,0.0,M,chrome,30.850
509,892728,A,28.254,1.0,M,safari,60.617
510,856768,A,27.238,1.0,M,safari,55.743
511,882735,A,28.437,1.0,F,firefox,61.500
512,872582,A,NaN,0.0,M,safari,29.013
513,909027,A,NaN,0.0,M,chrome,21.377
514,912889,A,23.350,1.0,F,safari,37.079
515,875552,A,25.440,1.0,F,firefox,47.110
516,840073,A,26.247,1.0,F,safari,50.984
517,912147,A,27.620,1.0,M,chrome,57.576
518,854533,A,NaN,0.0,M,firefox,48.411
519,859984,A,29.357,1.0,F,safari,65.912
520,901295,A,24.443,1.0,M,chrome,42.329
521,913592,A,22.717,1.0,F,firefox,34.043
522,866492,A,NaN,0.0,M,chrome,24.825
523,865048,A,NaN,0.0,M,chrome,34.332
524,901354,A,NaN,0.0,M,chrome,47.905
525,905547,A,22.778,1.0,F,chrome,34.335
526,846608,A,27.342,1.0,F,chrome,56.241
527,862463,A,28.531,1.0,F,chrome,61.948
528,900211,A,19.076,1.0,F,safari,16.565
529,839759,A,NaN,0.0,M,chrome,55.369
530,871520,A,19.401,1.0,M,firefox,18.125
531,862333,A,NaN,0.0,M,firefox,49.818
532,904835,A,NaN,0.0,M,firefox,59.698
533,838721,A,25.162,1.0,M,safari,45.778
534,874065,A,21.801,1.0,M,firefox,29.644
535,910005,A,NaN,0.0,M,safari,37.975
536,905818,A,NaN,0.0,M,safari,41.860
537,897314,A,24.544,1.0,F,chrome,42.813
538,891716,A,24.493,1.0,F,safari,42.565
539,846235,A,24.725,1.0,F,safari,43.681
540,911186,A,NaN,0.0,M,chrome,47.562
541,894424,A,21.979,1.0,M,safari,30.497
542,845718,A,24.395,1.0,F,firefox,42.096
543,896392,A,28.796,1.0,M,firefox,63.219
544,901248,A,24.038,1.0,M,safari,40.384
545,885113,A,23.890,1.0,F,firefox,39.674
546,882377,A,27.695,1.0,F,chrome,57.938
547,889001,A,18.602,1.0,M,firefox,14.290
548,888175,A,27.953,1.0,M,firefox,59.177
549,876511,A,23.420,1.0,M,safari,37.417
550,877263,A,25.410,1.0,M,firefox,46.967
551,888639,A,NaN,0.0,M,chrome,46.156
552,882390,A,27.356,1.0,M,firefox,56.310
553,894719,A,24.331,1.0,M,chrome,41.789
554,868596,A,NaN,0.0,M,firefox,36.864
555,862916,A,28.245,1.0,F,safari,60.574
556,837093,A,19.090,1.0,F,chrome,16.630
557,858647,A,25.051,1.0,F,safari,45.244
558,850087,A,21.630,1.0,M,safari,28.825
559,908398,A,23.096,1.0,M,chrome,35.861
560,841780,A,30.028,1.0,M,safari,69.135
561,892980,A,24.889,1.0,F,chrome,44.465
562,846931,A,25.488,1.0,F,chrome,47.341
563,834902,A,20.546,1.0,F,firefox,23.621
